"","Hub6"
"GSM1379985",1.54680952357768
"GSM1379986",1.09090475823786
"GSM1379987",1.14490298464115
"GSM1379988",1.27574394903189
"GSM1379989",1.10694638644374
"GSM1379990",1.09141398458066
"GSM1379991",1.02261840291041
"GSM1379993",1.12358649799924
"GSM1379994",1.15912688774945
"GSM1379995",1.04431150411481
"GSM1379996",1.3234017829097
"GSM1380003",1.10830307076119
"GSM1380006",0.950853180713742
"GSM1380008",1.12796406177342
"GSM1380009",1.02929081480248
"GSM1380010",1.22315945800997
"GSM1380011",1.07479741385308
"GSM1380012",1.19091071529289
"GSM1380013",1.07254450635694
"GSM1380014",1.02104476952058
"GSM1380015",1.4288668172384
"GSM1380016",0.614992301392449
"GSM1380017",0.833126258764059
"GSM1380020",0.941168754576246
"GSM1380021",1.0036593352455
"GSM1380022",0.873102680626153
"GSM1380023",1.24370148208073
"GSM1380025",0.910744671341213
"GSM1380026",0.862462737335428
"GSM1380027",1.10843473497722
"GSM1380028",0.869088730451332
"GSM1380029",0.834478490222733
"GSM1380031",0.97671219869109
"GSM1380032",0.744443759639351
"GSM1380033",0.869093235214894
"GSM1380034",0.924052652805538
"GSM1380035",1.10161693348675
"GSM1380036",1.07243728375251
"GSM1380037",0.927511663226748
"GSM1380038",0.755505271970198
"GSM1380039",0.778044733691382
"GSM1380046",1.007328237945
"GSM1380048",0.807938427343803
"GSM1380050",0.755825524878135
"GSM1380053",0.972008126976076
"GSM1380056",1.0831913495162
"GSM1380058",1.15210636879093
"GSM1380059",0.922248377708821
"GSM1380062",1.18584479135588
"GSM1380068",1.17281809101648
"GSM1380072",1.36024777833849
"GSM1380073",1.05653180370218
"GSM1380075",0.833902893046868
"GSM1380077",0.68669307018008
"GSM1380078",0.775183828996108
"GSM1380080",0.875455289438168
"GSM1380082",0.772309013756742
"GSM1380083",0.626199242932179
"GSM1380084",0.668875112333272
"GSM1380085",0.751991667233829
"GSM1380088",0.834258005855412
"GSM1380094",1.18506033975946
"GSM1380095",1.15437072543201
"GSM1380096",0.673738773323708
"GSM1380098",0.852092340105613
"GSM1380099",0.945261287318126
"GSM1380102",0.735020077452346
"GSM1380103",0.890844909335588
"GSM1380118",1.08465111003169
"GSM1380121",0.763137633574755
"GSM1380122",1.27773235832005
"GSM1380123",1.44244565256083
"GSM1380124",1.12723827653003
